School,SRC School ID,Report,Rpt Type Long,Street Address,City,State,Zip Code,Phone Number,Fax Number,Governance,Turnaround Model,Enrollment,Website,Grades Served,Admissions Type,Peer Group,2015-16 Learning Network,2016-17 Learning Network,Notes,Overall Score,Overall Tier,Overall City Rank,Overall Peer Rank,Ach Score,Ach Tier,Ach City Rank,Ach Peer Rank,Prog Score,Prog Tier,Prog City Rank,Prog Peer Rank,Clim Score,Clim Tier,Clim City Rank,Clim Peer Rank,CC Score,CC Tier,CC City Rank,CC Peer Rank,Keystone Alg1 Prof/Adv Score,Keystone Alg1 Prof/Adv Denom,Keystone Alg1 Prof/Adv Pts Earn,Keystone Alg1 Prof/Adv Pts Poss,Keystone Alg1 Prof/Adv Pct Earn,Keystone Alg1 Prof/Adv Tier,Keystone Alg1 Adv Score,Keystone Alg1 Adv Denom,Keystone Alg1 Adv Pts Earn,Keystone Alg1 Adv Pts Poss,Keystone Alg1 Adv Pct Earn,Keystone Alg1 Adv Tier,Keystone Bio Prof/Adv Score,Keystone Bio Prof/Adv Denom,Keystone Bio Prof/Adv Pts Earn,Keystone Bio Prof/Adv Pts Poss,Keystone Bio Prof/Adv Pct Earn,Keystone Bio Prof/Adv Tier,Keystone Bio Adv Score,Keystone Bio Adv Denom,Keystone Bio Adv Pts Earn,Keystone Bio Adv Pts Poss,Keystone Bio Adv Pct Earn,Keystone Bio Adv Tier,Keystone Lit Prof/Adv Score,Keystone Lit Prof/Adv Denom,Keystone Lit Prof/Adv Pts Earn,Keystone Lit Prof/Adv Pts Poss,Keystone Lit Prof/Adv Pct Earn,Keystone Lit Prof/Adv Tier,Keystone Lit Adv Score,Keystone Lit Adv Denom,Keystone Lit Adv Pts Earn,Keystone Lit Adv Pts Poss,Keystone Lit Adv Pct Earn,Keystone Lit Adv Tier,ACCESS Prof Score,ACCESS Prof Denom,ACCESS Prof Pts Earn,ACCESS Prof Pts Poss,ACCESS Prof Pct Earn,ACCESS Prof Tier,Keystone Alg1 AGI Score,Keystone Alg1 AGI Pts Earn,Keystone Alg1 AGI Pts Poss,Keystone Alg1 AGI Pct Earn,Keystone Alg1 AGI Tier,Keystone Bio AGI Score,Keystone Bio AGI Pts Earn,Keystone Bio AGI Pts Poss,Keystone Bio AGI Pct Earn,Keystone Bio AGI Tier,Keystone Lit AGI Score,Keystone Lit AGI Pts Earn,Keystone Lit AGI Pts Poss,Keystone Lit AGI Pct Earn,Keystone Lit AGI Tier,Stay On Track Score,Stay On Track Denom,Stay On Track Pts Earn,Stay On Track Pts Poss,Stay On Track Pct Earn,Stay On Track Tier,Back On Track Score,Back On Track Denom,Back On Track Pts Earn,Back On Track Pts Poss,Back On Track Pct Earn,Back On Track Tier,ACCESS Growth Score,ACCESS Growth Denom,ACCESS Growth Pts Earn,ACCESS Growth Pts Poss,ACCESS Growth Pct Earn,ACCESS Growth Tier,Keystone Alg1 AGI (L20P) Score,Keystone Alg1 AGI (L20P) Pts Earn,Keystone Alg1 AGI (L20P) Pts Poss,Keystone Alg1 AGI (L20P) Pct Earn,Keystone Alg1 AGI (L20P) Tier,Keystone Bio AGI (L20P) Score,Keystone Bio AGI (L20P) Pts Earn,Keystone Bio AGI (L20P) Pts Poss,Keystone Bio AGI (L20P) Pct Earn,Keystone Bio AGI (L20P) Tier,Keystone Lit AGI (L20P) Score,Keystone Lit AGI (L20P) Pts Earn,Keystone Lit AGI (L20P) Pts Poss,Keystone Lit AGI (L20P) Pct Earn,Keystone Lit AGI (L20P) Tier,Attendance (95%+) Score,Attendance (95%+) Denom,Attendance (95%+) Pts Earn,Attendance (95%+) Pts Poss,Attendance (95%+) Pct Earn,Attendance (95%+) Tier,Attendance (90%-95%) Score,Attendance (90%-95%) Denom,Attendance (85%-90%) Score,Attendance (85%-90%) Denom,Attendance (80%-85%) Score,Attendance (80%-85%) Denom,Attendance (<80%) Score,Attendance (<80%) Denom,Retention Score,Retention Denom,Retention Pts Earn,Retention Pts Poss,Retention Pct Earn,Retention Tier,ISS Score,ISS Denom,ISS Pts Earn,ISS Pts Poss,ISS Pct Earn,ISS Tier,OSS Score,OSS Denom,OSS Pts Earn,OSS Pts Poss,OSS Pct Earn,OSS Tier,Student Survey Climate Score,Student Survey Climate Pts Earn,Student Survey Climate Pts Poss,Student Survey Climate Pct Earn,Student Survey Climate Tier,Parent Survey Climate Score,Parent Survey Climate Pts Earn,Parent Survey Climate Pts Poss,Parent Survey Climate Pct Earn,Parent Survey Climate Tier,Parent Survey Participation Score,Parent Survey Participation Pts Earn,Parent Survey Participation Pts Poss,Parent Survey Participation Pct Earn,Parent Survey Participation Tier,Grad Score,Grad Denom,Grad Pts Earn,Grad Pts Poss,Grad Pct Earn,Grad Tier,FF Matric Score,FF Matric Denom,FF Matric Pts Earn,FF Matric Pts Poss,FF Matric Pct Earn,FF Matric Tier,AP/IB/NOCTI Score,AP/IB/NOCTI Denom,AP/IB/NOCTI Pts Earn,AP/IB/NOCTI Pts Poss,AP/IB/NOCTI Pct Earn,AP/IB/NOCTI Tier,AP/IB/NOCTI (Participants) Score,AP/IB/NOCTI (Participants) Denom,AP/IB/NOCTI (Non-Participants) Score,AP/IB/NOCTI (Non-Participants) Denom,ACT/SAT Score,ACT/SAT Denom,ACT/SAT Pts Earn,ACT/SAT Pts Poss,ACT/SAT Pct Earn,ACT/SAT Tier,ACT/SAT (Participants) Score,ACT/SAT (Participants) Denom,ACT/SAT (Non-Participants) Score,ACT/SAT (Non-Participants) Denom,FAFSA Score,FAFSA Denom,FAFSA Pts Earn,FAFSA Pts Poss,FAFSA Pct Earn,FAFSA Tier,Student Survey College & Career Score,Student Survey College & Career Pts Earn,Student Survey College & Career Pts Poss,Student Survey College & Career Pct Earn,Student Survey College & Career Tier,Teach Effect Distinguished Score,Teach Effect Instruction Score,Teacher Attendance Score,Student Survey Teaching Score
Kipp Dubois,W53,HS,High School,5070 Parkside Ave.,Philadelphia,PA,19131,267-687-4297,215-307-3271,Charter,N/A,537,www.kippphiladelphia.org/schools/kdca,'9-12',Citywide With Criteria,3,Charter,Charter,,27,WATCH,46th out of 83,16th out of 22,4,INTERVENE,51st out of 79,14th out of 19,22,INTERVENE,51st out of 83,17th out of 22,67,REINFORCE,29th out of 84,10th out of 21,32,WATCH,42nd out of 77,15th out of 20,23,236,.33,8,4,INTERVENE,0,236,.03,1.5,2,INTERVENE,18,218,0,8,0,INTERVENE,2,218,.11,1.5,7,INTERVENE,27,210,.71,8,9,INTERVENE,0,210,0,1.5,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-3.96,0,6.5,0,INTERVENE,-1.49,0,6.5,0,INTERVENE,-4.8,0,6.5,0,INTERVENE,83,330,3.39,8,42,WATCH,64,45,2.93,6,49,WATCH,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,.34,.67,1.5,45,WATCH,2.41,1.5,1.5,100,MODEL,-1.46,0,1.5,0,INTERVENE,57,574,5.86,8,73,REINFORCE,24,574,7,574,4,574,8,574,82,532,4.17,6,70,REINFORCE,100,574,.5,.5,100,MODEL,76,574,.53,2.5,21,INTERVENE,54,.54,1,54,REINFORCE,86,.86,1,86,MODEL,46,.9,1,90,MODEL,81,106,1.1,4.5,25,WATCH,66,87,1.11,1.5,74,REINFORCE,0,93,0,1,0,INTERVENE,40,93,60,93,1,93,0,1,0,INTERVENE,91,93,8,93,58,93,.66,1,66,REINFORCE,32,.32,1,32,WATCH,Data Not Available,Data Not Available,Data Not Available,41
Philadelphia Electrical and Technology Charter School,W58,HS,High School,1420 Chestnut St.,Philadelphia,PA,19102,267-514-1823,267-514-1834,Charter,N/A,623,www.petchs.org,'9-12',Citywide,4,Charter,Charter,,45,WATCH,22nd out of 83,6th out of 19,7,INTERVENE,38th out of 79,13th out of 19,78,MODEL,7th out of 83,1st out of 19,38,WATCH,54th out of 84,16th out of 20,42,WATCH,33rd out of 77,11th out of 18,20,238,.02,8,0,INTERVENE,3,238,.2,1.5,13,INTERVENE,13,256,0,8,0,INTERVENE,1,256,.05,1.5,3,INTERVENE,37,227,1.66,8,21,INTERVENE,0,227,.03,1.5,2,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,4.14,6.5,6.5,100,MODEL,.07,2.32,6.5,36,WATCH,6.25,6.5,6.5,100,MODEL,92,381,5.9,8,74,REINFORCE,75,40,4.2,6,70,REINFORCE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2.62,1.5,1.5,100,MODEL,2.71,1.5,1.5,100,MODEL,1.29,1.15,1.5,76,MODEL,35,675,2.44,8,31,WATCH,28,675,16,675,8,675,13,675,81,615,3.78,6,63,REINFORCE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,75,675,.45,2.5,18,INTERVENE,72,.72,1,72,REINFORCE,0,0,1,0,INTERVENE,3,0,1,0,INTERVENE,92,146,3.02,4.5,67,REINFORCE,43,137,.49,1.5,33,WATCH,0,140,0,1,0,INTERVENE,9,140,91,140,1,140,0,1,0,INTERVENE,84,140,15,140,44,140,.37,1,37,WATCH,31,.31,1,31,WATCH,Data Not Available,Data Not Available,Data Not Available,61
Mastery Charter School at Lenfest Campus,W61,HS,High School,35 S. 4th St.,Philadelphia,PA,19106,215-922-1902,215-922-1903,Charter,N/A,330,www.masterycharter.org/schools/middle-and-high-schools/lenfest-campus,'9-12',Citywide With Criteria,2,Charter,Charter,,34,WATCH,34th out of 83,5th out of 20,14,INTERVENE,25th out of 79,1st out of 20,33,WATCH,32nd out of 83,5th out of 20,64,REINFORCE,33rd out of 84,4th out of 21,34,WATCH,40th out of 77,5th out of 19,15,121,0,8,0,INTERVENE,0,121,0,1.5,0,INTERVENE,24,72,.36,8,5,INTERVENE,10,72,.58,1.5,39,WATCH,47,99,2.75,8,34,WATCH,3,99,.18,1.5,12,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-8.56,0,6.5,0,INTERVENE,-1.15,0,6.5,0,INTERVENE,2.42,6.5,6.5,100,MODEL,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-1.8,0,1.5,0,INTERVENE,1.21,1.11,1.5,74,REINFORCE,-.29,.36,1.5,24,INTERVENE,54,353,5.46,8,68,REINFORCE,25,353,11,353,3,353,7,353,90,326,6,6,100,MODEL,99,353,.47,.5,94,MODEL,80,353,.82,2.5,33,WATCH,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,79,77,.76,4.5,17,INTERVENE,78,65,1.46,1.5,97,MODEL,16,68,.15,1,15,INTERVENE,44,68,40,68,4,68,0,1,0,INTERVENE,96,68,0,68,82,68,1,1,100,MODEL,0,0,1,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,0
First Philadelphia Preparatory Charter School,W64,HS,High School,4300 Tacony St.,Philadelphia,PA,19124,215-743-3100,215-743-9877,Charter,N/A,253,www.ap-schools.org/firstphiladelphia,'9-11',Citywide With Criteria,4,Charter,Charter,,32,WATCH,37th out of 83,11th out of 19,1,INTERVENE,60th out of 79,17th out of 19,45,WATCH,22nd out of 83,5th out of 19,59,REINFORCE,36th out of 84,11th out of 20,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,10,194,0,8,0,INTERVENE,2,194,.12,1.5,8,INTERVENE,7,127,0,8,0,INTERVENE,0,127,0,1.5,0,INTERVENE,21,92,.07,8,1,INTERVENE,1,92,.07,1.5,4,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-4.31,0,6.5,0,INTERVENE,-2.59,0,6.5,0,INTERVENE,3.17,6.5,6.5,100,MODEL,89,209,4.94,8,62,REINFORCE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,1.48,1.24,1.5,83,MODEL,1.3,1.15,1.5,77,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,44,254,3.92,8,49,WATCH,27,254,15,254,7,254,6,254,86,249,6,6,100,MODEL,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,77,254,.56,2.5,23,INTERVENE,0,0,1,0,INTERVENE,80,.8,1,80,MODEL,16,.16,1,16,INTERVENE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,1,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,0
Maritime Academy Charter School (MACHS),W66,HS,High School,2275 Bridge St.,Philadelphia,PA,19137,215-535-4555,215-535-4398,Charter,N/A,296,www.maritimecharter.org,'9-12',Citywide,4,Charter,Charter,,40,WATCH,26th out of 83,8th out of 19,15,INTERVENE,23rd out of 79,10th out of 19,42,WATCH,26th out of 83,9th out of 19,73,REINFORCE,19th out of 84,5th out of 20,36,WATCH,39th out of 77,12th out of 18,28,116,.85,8,11,INTERVENE,9,116,.57,1.5,38,WATCH,22,108,.22,8,3,INTERVENE,3,108,.17,1.5,11,INTERVENE,44,89,2.38,8,30,WATCH,0,89,0,1.5,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-1.33,0,6.5,0,INTERVENE,-.6,.87,6.5,13,INTERVENE,1.8,6.07,6.5,93,MODEL,86,189,4.19,8,52,REINFORCE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-.3,.35,1.5,23,INTERVENE,.44,.72,1.5,48,WATCH,1.72,1.36,1.5,91,MODEL,46,312,4.13,8,52,REINFORCE,10,312,1,312,1,312,43,312,89,293,6,6,100,MODEL,100,312,.5,.5,100,MODEL,100,312,2.47,2.5,99,MODEL,60,.6,1,60,REINFORCE,84,.84,1,84,MODEL,14,.09,1,9,INTERVENE,87,79,2.22,4.5,49,WATCH,48,73,.63,1.5,42,WATCH,0,75,0,1,0,INTERVENE,31,75,69,75,7,75,0,1,0,INTERVENE,67,75,27,75,48,75,.46,1,46,WATCH,27,.27,1,27,WATCH,Data Not Available,Data Not Available,Data Not Available,45
New Media Technology Charter School,W80,HS,High School,Closed,Closed,Closed,Closed,Closed,Closed,Charter,N/A,307,Closed,'9-12',Citywide,3,Charter,Closed,*School closed at the end of the 2015-2016 school year.,15,INTERVENE,59th out of 83,21st out of 22,0,INTERVENE,79th out of 79,19th out of 19,5,INTERVENE,82nd out of 83,21st out of 22,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,46,WATCH,29th out of 77,10th out of 20,7,196,0,8,0,INTERVENE,0,196,0,1.5,0,INTERVENE,3,190,0,8,0,INTERVENE,0,190,0,1.5,0,INTERVENE,19,180,0,8,0,INTERVENE,0,180,0,1.5,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-6.21,0,6.5,0,INTERVENE,-7.36,0,6.5,0,INTERVENE,-1.72,0,6.5,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-.18,.41,1.5,27,WATCH,.03,.52,1.5,34,WATCH,-.59,.21,1.5,14,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,83,300,5,6,83,MODEL,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,93,59,3.28,4.5,73,REINFORCE,53,58,.78,1.5,52,REINFORCE,0,60,0,1,0,INTERVENE,0,60,100,60,0,60,0,1,0,INTERVENE,80,60,20,60,50,60,.5,1,50,REINFORCE,0,0,1,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,0
Mastery Charter School at Shoemaker Campus,W83,HS,High School,5301 Media St.,Philadelphia,PA,19131,267-296-7111,267-296-7112,Charter,N/A,507,www.masterycharter.org/schools/shoemaker-campus/about-shoemaker.html,'9-12',Citywide With Criteria,2,Charter,Charter,,39,WATCH,27th out of 83,3rd out of 20,8,INTERVENE,35th out of 79,2nd out of 20,42,WATCH,27th out of 83,4th out of 20,71,REINFORCE,22nd out of 84,2nd out of 21,52,REINFORCE,24th out of 77,2nd out of 19,11,208,0,8,0,INTERVENE,2,208,.14,1.5,10,INTERVENE,13,196,0,8,0,INTERVENE,1,196,.03,1.5,2,INTERVENE,42,178,2.16,8,27,WATCH,0,178,0,1.5,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-.53,1.02,6.5,16,INTERVENE,-6.3,0,6.5,0,INTERVENE,2.46,6.5,6.5,100,MODEL,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,1.97,1.49,1.5,99,MODEL,.06,.53,1.5,35,WATCH,.12,.56,1.5,37,WATCH,61,519,6.6,8,83,MODEL,20,519,10,519,3,519,6,519,91,501,6,6,100,MODEL,99,519,.47,.5,94,MODEL,83,519,1.12,2.5,45,WATCH,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,91,119,2.84,4.5,63,REINFORCE,76,112,1.39,1.5,93,MODEL,7,113,0,1,0,INTERVENE,33,113,60,113,5,113,0,1,0,INTERVENE,89,113,6,113,74,113,.99,1,99,MODEL,0,0,1,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,0
Mastery Charter School at Thomas Campus,W85,HS,High School,927 Johnston St.,Philadelphia,PA,19148,267-236-0036,267-236-0030,Charter,N/A,427,www.masterycharter.org/schools/thomas-campus,'9-12',Citywide With Criteria,4,Charter,Charter,,33,WATCH,36th out of 83,10th out of 19,20,INTERVENE,21st out of 79,9th out of 19,19,INTERVENE,61st out of 83,16th out of 19,64,REINFORCE,32nd out of 84,9th out of 20,43,WATCH,32nd out of 77,10th out of 18,16,153,0,8,0,INTERVENE,1,153,.08,1.5,5,INTERVENE,35,127,1.47,8,18,INTERVENE,10,127,.61,1.5,41,WATCH,53,149,3.3,8,41,WATCH,2,149,.12,1.5,8,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-6.29,0,6.5,0,INTERVENE,-1.95,0,6.5,0,INTERVENE,.21,2.62,6.5,40,WATCH,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-3.38,0,1.5,0,INTERVENE,.16,.58,1.5,39,WATCH,1.61,1.31,1.5,87,MODEL,51,456,5.01,8,63,REINFORCE,21,456,10,456,6,456,11,456,86,421,6,6,100,MODEL,100,456,.5,.5,100,MODEL,86,456,1.37,2.5,55,REINFORCE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,86,113,1.95,4.5,43,WATCH,70,103,1.22,1.5,82,MODEL,5,106,0,1,0,INTERVENE,39,106,57,106,16,106,.15,1,15,INTERVENE,78,106,6,106,73,106,.95,1,95,MODEL,0,0,1,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,0
Boys Latin of Philadelphia Charter School,W88,HS,High School,5501 Cedar Ave.,Philadelphia,PA,19143,215-387-5149,215-387-5159,Charter,N/A,476,www.boyslatin.org/pages/blmain,'9-12',Citywide,3,Charter,Charter,,34,WATCH,33rd out of 83,9th out of 22,9,INTERVENE,32nd out of 79,8th out of 19,31,WATCH,37th out of 83,13th out of 22,76,MODEL,15th out of 84,3rd out of 21,36,WATCH,38th out of 77,14th out of 20,22,252,.22,8,3,INTERVENE,1,252,.05,1.5,3,INTERVENE,13,329,0,8,0,INTERVENE,1,329,.04,1.5,2,INTERVENE,42,165,2.18,8,27,WATCH,1,165,.04,1.5,2,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-1.39,0,6.5,0,INTERVENE,-8.38,0,6.5,0,INTERVENE,.88,4.07,6.5,63,REINFORCE,75,256,1.44,8,18,INTERVENE,73,84,3.91,6,65,REINFORCE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,.92,.96,1.5,64,REINFORCE,.16,.58,1.5,39,WATCH,.61,.81,1.5,54,REINFORCE,59,478,6.27,8,78,MODEL,24,478,10,478,3,478,4,478,84,476,5.67,6,95,MODEL,100,478,.5,.5,100,MODEL,95,478,2.12,2.5,85,MODEL,60,.6,1,60,REINFORCE,0,0,1,0,INTERVENE,8,0,1,0,INTERVENE,80,121,.93,4.5,21,INTERVENE,75,101,1.37,1.5,91,MODEL,8,104,0,1,0,INTERVENE,20,104,72,104,11,104,.01,1,1,INTERVENE,83,104,7,104,73,104,.96,1,96,MODEL,33,.33,1,33,WATCH,Data Not Available,Data Not Available,Data Not Available,55
Mastery Charter School at Pickett Campus,W93,HS,High School,5700 Wayne Ave.,Philadelphia,PA,19144,215-866-9000,215-866-9001,Charter,N/A,447,www.masterycharter.org/schools/pickett-campus,'9-12',Citywide With Criteria,2,Charter,Charter,,20,INTERVENE,52nd out of 83,8th out of 20,5,INTERVENE,45th out of 79,5th out of 20,8,INTERVENE,74th out of 83,17th out of 20,49,WATCH,49th out of 84,6th out of 21,30,WATCH,43rd out of 77,6th out of 19,14,154,0,8,0,INTERVENE,0,154,0,1.5,0,INTERVENE,24,195,.36,8,4,INTERVENE,3,195,.18,1.5,12,INTERVENE,29,222,.88,8,11,INTERVENE,0,222,.03,1.5,2,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-4.43,0,6.5,0,INTERVENE,-5.78,0,6.5,0,INTERVENE,-1.53,0,6.5,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,.92,.96,1.5,64,REINFORCE,.31,.66,1.5,44,WATCH,-.19,.41,1.5,27,WATCH,40,480,3.2,8,40,WATCH,28,480,15,480,6,480,11,480,85,442,5.77,6,96,MODEL,100,480,.49,.5,98,MODEL,74,480,.33,2.5,13,INTERVENE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,81,116,1.09,4.5,24,INTERVENE,59,96,.94,1.5,63,REINFORCE,8,98,0,1,0,INTERVENE,33,98,59,98,7,98,0,1,0,INTERVENE,89,98,4,98,76,98,1,1,100,MODEL,0,0,1,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,0
Eastern University Academy Charter School,W97,HS,High School,3300 Henry Ave.,Philadelphia,PA,19129,215-769-3131,215-769-3112,Charter,N/A,231,www.euacademycs.org,'9-12',Citywide,2,Charter,Charter,,37,WATCH,30th out of 83,4th out of 20,1,INTERVENE,58th out of 79,8th out of 20,65,REINFORCE,13th out of 83,3rd out of 20,41,WATCH,51st out of 84,7th out of 21,29,WATCH,44th out of 77,7th out of 19,17,101,0,8,0,INTERVENE,0,101,0,1.5,0,INTERVENE,15,107,0,8,0,INTERVENE,2,107,.11,1.5,7,INTERVENE,22,78,.18,8,2,INTERVENE,0,78,0,1.5,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,1.45,5.31,6.5,82,MODEL,-.19,1.76,6.5,27,WATCH,.26,2.73,6.5,42,WATCH,95,135,6.62,8,83,MODEL,81,31,4.88,6,81,MODEL,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,1.85,1.43,1.5,95,MODEL,2.33,1.5,1.5,100,MODEL,-.06,.47,1.5,31,WATCH,31,244,1.78,8,22,INTERVENE,36,244,22,244,6,244,5,244,83,229,4.78,6,80,MODEL,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,70,244,0,2.5,0,INTERVENE,62,.62,1,62,REINFORCE,78,.78,1,78,MODEL,15,.12,1,12,INTERVENE,79,62,.73,4.5,16,INTERVENE,65,52,1.1,1.5,73,REINFORCE,0,54,0,1,0,INTERVENE,0,54,100,54,0,54,0,1,0,INTERVENE,100,54,0,54,61,54,.72,1,72,REINFORCE,37,.37,1,37,WATCH,Data Not Available,Data Not Available,Data Not Available,50
Sankofa Freedom Academy Charter School,W99,HS,High School,4256 Paul St.,Philadelphia,PA,19124,215-288-2001,215-288-2099,Charter,N/A,197,www.sfacs.us,'9-12',Citywide With Criteria,2,Charter,Charter,,55,REINFORCE,14th out of 83,1st out of 20,7,INTERVENE,37th out of 79,3rd out of 20,87,MODEL,4th out of 83,1st out of 20,79,MODEL,14th out of 84,1st out of 21,44,WATCH,30th out of 77,3rd out of 19,20,88,.05,8,1,INTERVENE,0,88,0,1.5,0,INTERVENE,20,51,0,8,0,INTERVENE,2,51,.12,1.5,8,INTERVENE,40,86,1.95,8,24,INTERVENE,0,86,0,1.5,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,3.61,6.5,6.5,100,MODEL,.99,4.31,6.5,66,REINFORCE,2.2,6.5,6.5,100,MODEL,98,116,7.54,8,94,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,3.32,1.5,1.5,100,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-.62,.19,1.5,13,INTERVENE,53,210,5.26,8,66,REINFORCE,25,210,10,210,6,210,7,210,84,193,5.68,6,95,MODEL,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,97,210,2.22,2.5,89,MODEL,62,.62,1,62,REINFORCE,86,.86,1,86,MODEL,39,.71,1,71,REINFORCE,87,45,2.1,4.5,47,WATCH,59,39,.93,1.5,62,REINFORCE,0,38,0,1,0,INTERVENE,3,38,97,38,0,38,0,1,0,INTERVENE,95,38,5,38,76,38,1,1,100,MODEL,42,.42,1,42,WATCH,Data Not Available,Data Not Available,Data Not Available,54
